ma_gd,ngay,danh_muc,so_tien_vnd,phuong_thuc,ghi_chu
GD101,2026-09-01,Ăn uống,35000,Tiền mặt,Ăn sáng bún bò
GD102,2026-09-01,Đi lại,15000,Chuyển khoản,Vé xe buýt tháng
GD103,2026-09-02,Học tập,120000,Chuyển khoản,Mua giáo trình XSTK
GD104,2026-09-02,Ăn uống,45000,Tiền mặt,Cơm trưa căn tin
GD105,2026-09-03,Giải trí,80000,Chuyển khoản,Xem phim cuối tuần
GD106,2026-09-03,Ăn uống,30000,Tiền mặt,Bánh mì chiều
GD107,2026-09-04,Đi lại,20000,Chuyển khoản,Đổ xăng xe máy
GD108,2026-09-04,Ăn uống,50000,Tiền mặt,Cơm tối cùng bạn
GD109,2026-09-05,Mua sắm,250000,Chuyển khoản,Mua tai nghe học tập
GD110,2026-09-05,Ăn uống,40000,Tiền mặt,Ăn trưa
GD111,2026-09-06,Giải trí,65000,Chuyển khoản,Cà phê học nhóm
GD112,2026-09-06,Ăn uống,45000,Tiền mặt,Cơm tối
