spam,to_multiple,from,cc,sent_email,image,attach,dollar,winner,inherit,viagra,password,num_char,line_breaks,format,re_subj,exclaim_subj,urgent_subj,exclaim_mess,number
0,1,1,0,1,0,0,0,no,0,0,0,1.95,317,1,1,0,0,6,none
1,0,1,0,0,0,0,1,yes,0,0,0,12.06,258,1,0,0,0,6,small
0,1,1,0,0,0,0,3,no,0,0,0,14.25,175,0,0,0,0,3,small
0,1,1,0,0,1,0,1,no,0,0,0,19.62,490,0,1,0,0,5,small
0,0,1,2,1,0,0,0,no,0,0,0,16.34,481,0,0,0,0,2,small
0,1,1,0,0,0,0,1,no,0,0,0,29.41,344,0,0,0,0,4,small
0,0,1,0,0,0,1,0,no,0,0,0,15.8,39,0,0,0,0,3,big
0,0,1,0,1,0,0,3,no,0,0,0,8.12,256,0,0,0,0,2,small
0,0,1,0,0,0,0,0,no,0,0,0,8.51,115,0,1,0,0,4,small
0,0,1,0,0,0,0,0,no,0,0,0,7.2,60,0,0,0,0,1,small
0,0,1,0,0,0,0,0,no,0,0,0,11.43,90,1,0,1,0,3,small
1,0,1,0,0,0,1,2,yes,0,0,0,3.75,142,0,0,0,0,1,small
0,0,1,2,0,0,0,0,no,0,0,0,11.85,294,1,0,0,0,3,none
0,0,1,1,0,0,0,3,no,0,0,0,8.42,397,1,0,0,0,3,big
0,0,1,0,0,0,0,1,no,0,0,0,11.25,147,1,0,0,0,1,none
0,0,1,1,1,0,0,1,no,0,0,0,11.28,193,0,0,0,0,2,big
0,0,1,1,0,0,0,0,no,0,0,0,1.27,410,1,1,0,0,4,small
0,0,1,0,0,0,0,0,no,0,0,1,4.39,339,1,0,0,0,2,none
0,0,1,1,0,0,0,0,no,0,0,0,8.27,282,0,0,0,0,5,small
0,1,1,0,0,0,0,0,no,0,0,0,8.63,349,1,0,0,0,0,big
0,0,1,1,0,0,0,2,no,0,0,0,11.11,481,1,0,1,0,3,small
0,0,1,1,0,0,0,0,no,0,0,0,11.49,78,0,0,0,0,2,big
0,0,1,0,0,0,0,1,no,0,0,1,30.36,43,0,0,1,0,0,small
0,0,1,0,0,0,1,0,no,0,0,0,11.59,271,1,0,0,0,2,small
0,0,1,0,0,0,0,1,no,0,0,1,7.03,62,1,0,0,0,2,big
0,0,1,0,0,0,0,2,no,0,0,0,2.51,459,0,0,1,0,4,small
0,0,1,1,0,2,0,1,no,0,0,0,3.02,214,0,1,0,0,2,small
0,0,1,1,0,0,0,2,no,0,0,0,13.85,135,1,0,0,0,1,small
0,0,1,0,1,1,0,0,no,0,0,1,21.08,244,1,0,0,0,1,big
0,0,1,0,0,0,0,0,no,0,0,0,30.97,52,1,0,0,0,0,big
0,1,1,0,0,0,0,1,no,0,0,0,4.65,249,1,1,0,0,2,none
0,0,1,0,0,0,0,3,no,0,0,1,7.08,468,1,0,0,0,4,small
0,0,1,0,1,0,0,1,no,0,0,0,10.96,380,1,0,0,0,3,big
1,0,1,0,1,0,0,2,no,0,0,0,46.43,120,0,1,0,0,5,none
1,0,1,2,0,0,0,2,yes,0,0,0,9.89,258,0,1,0,0,5,small
0,0,1,0,0,0,0,0,no,0,0,0,31.22,160,1,1,0,0,3,big
0,0,1,0,1,0,0,0,no,0,0,0,10.34,192,1,0,0,0,4,none
0,0,1,0,0,0,0,0,no,0,0,0,22.71,345,1,0,0,0,1,small
0,1,1,0,0,0,0,0,no,0,0,0,20.52,104,1,0,0,0,3,small
0,0,1,4,0,0,0,1,no,0,0,0,10.31,468,0,1,0,0,4,big
0,0,1,4,0,1,0,1,no,0,0,0,3.99,383,1,0,1,0,4,big
0,0,1,0,1,1,0,0,no,0,0,1,7.28,409,1,0,0,0,3,big
0,0,1,0,1,1,0,1,no,0,0,0,29.7,17,0,0,0,0,2,small
1,0,1,0,0,0,0,0,no,0,0,0,18.22,397,0,1,0,0,2,big
0,0,1,0,0,0,0,3,no,0,0,0,6.38,369,1,0,0,0,3,big
0,0,1,0,0,1,0,1,no,0,0,0,6.86,397,0,0,0,0,3,small
0,0,1,0,0,0,0,0,no,0,0,0,2.26,193,1,0,0,0,4,big
0,0,1,0,1,2,0,3,no,0,0,0,28.66,290,0,0,0,0,0,none
0,0,1,0,1,2,0,1,no,0,0,0,18.34,204,1,0,0,0,2,small
0,0,1,0,1,0,0,2,no,0,0,0,8.09,361,0,0,0,0,4,small
